歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
DaBaby,6,rap,83.667,93,2019.0,0.815,0.694,0.679,0.081,0.0,0.174,0.3,说唱
Roddy Ricch,7,rap,83.429,98,2019.0,0.851,0.535,0.45,0.096,0.0,0.322,0.186,说唱
Harry Styles,9,pop,81.778,91,2019.0,0.586,0.635,0.401,0.216,0.0,0.187,0.037,流行
YNW Melly,7,rap,81.571,90,2019.0,0.787,0.539,0.539,0.18,0.0,0.101,0.192,说唱
Billie Eilish,26,r&b,76.962,97,2019.0,0.645,0.316,0.273,0.618,0.114,0.136,0.164,R&B
Lewis Capaldi,9,pop,76.889,94,2019.0,0.599,0.587,0.378,0.5,0.0,0.163,0.046,流行
Alec Benjamin,6,r&b,76.833,86,2018.5,0.69,0.569,0.675,0.592,0.0,0.225,0.046,R&B
Dimelo Flow,5,latin,76.8,90,2019.0,0.761,0.708,0.695,0.235,0.0,0.192,0.125,拉丁
Rich Music LTD,6,latin,76.5,88,2019.0,0.688,0.785,0.674,0.188,0.0,0.217,0.214,拉丁
Twenty One Pilots,8,pop,76.125,83,2015.0,0.667,0.668,0.543,0.046,0.008,0.152,0.063,流行
TINI,5,latin,76.0,82,2019.0,0.688,0.675,0.65,0.196,0.0,0.105,0.146,拉丁
Doja Cat,8,r&b,74.75,88,2019.0,0.765,0.611,0.509,0.274,0.0,0.106,0.106,R&B
Tones and I,10,pop,74.6,100,2019.0,0.709,0.501,0.373,0.567,0.0,0.161,0.089,流行
Green Day,10,pop,73.2,79,2004.0,0.463,0.8,0.619,0.029,0.0,0.295,0.039,流行
iann dior,5,rap,73.2,80,2019.0,0.68,0.652,0.283,0.116,0.0,0.103,0.048,说唱
Gusttavo Lima,6,edm,73.167,84,2019.0,0.748,0.914,0.782,0.32,0.0,0.672,0.056,电子舞曲
tha Supreme,6,rap,73.0,79,2019.0,0.648,0.776,0.593,0.125,0.0,0.151,0.116,说唱
Lil Peep,7,rap,72.857,83,2019.0,0.676,0.615,0.346,0.037,0.0,0.21,0.052,说唱
Piso 21,9,latin,72.778,86,2018.0,0.733,0.744,0.694,0.202,0.0,0.098,0.11,拉丁
Cardi B,8,r&b,72.625,84,2018.0,0.842,0.632,0.435,0.039,0.0,0.224,0.167,R&B
benny blanco,7,pop,72.571,84,2018.0,0.684,0.689,0.458,0.245,0.021,0.207,0.197,流行
Camila Cabello,16,pop,72.25,94,2019.0,0.646,0.566,0.446,0.23,0.0,0.149,0.055,流行
Dave,6,rap,72.0,79,2019.0,0.854,0.608,0.613,0.14,0.0,0.156,0.236,说唱
Anitta,5,latin,72.0,85,2019.0,0.758,0.701,0.605,0.285,0.0,0.159,0.101,拉丁
Khalid,28,pop,71.643,87,2018.0,0.692,0.536,0.378,0.231,0.038,0.143,0.127,流行
Offset,5,rap,71.6,81,2019.0,0.896,0.549,0.423,0.224,0.0,0.118,0.2,说唱
ROSALÍA,9,r&b,71.444,88,2018.0,0.736,0.52,0.53,0.548,0.075,0.12,0.141,R&B
AC/DC,14,rock,71.429,83,1980.0,0.503,0.828,0.49,0.045,0.088,0.206,0.089,摇滚
Bryson Tiller,5,rap,71.4,80,2015.0,0.642,0.43,0.297,0.153,0.0,0.126,0.189,说唱
XXXTENTACION,9,rap,71.222,87,2017.0,0.79,0.612,0.472,0.244,0.001,0.146,0.148,说唱
Ava Max,11,pop,71.182,87,2019.0,0.667,0.77,0.548,0.099,0.003,0.135,0.055,流行
Jesse & Joy,7,latin,71.143,78,2017.0,0.626,0.689,0.55,0.179,0.0,0.178,0.064,拉丁
One Direction,12,pop,71.0,80,2013.0,0.633,0.727,0.607,0.16,0.0,0.105,0.052,流行
Luis Miguel,5,latin,70.8,77,1988.0,0.573,0.615,0.438,0.15,0.0,0.101,0.033,拉丁
Russ,6,rap,70.667,82,2018.5,0.721,0.578,0.457,0.294,0.0,0.143,0.224,说唱
KAROL G,9,latin,70.556,98,2019.0,0.736,0.743,0.592,0.27,0.0,0.147,0.11,拉丁
John Mayer,8,latin,70.5,80,2006.0,0.619,0.507,0.548,0.549,0.014,0.231,0.041,拉丁
Feid,5,latin,70.2,76,2019.0,0.753,0.624,0.679,0.372,0.001,0.125,0.212,拉丁
5 Seconds of Summer,12,pop,70.167,84,2018.0,0.592,0.717,0.476,0.086,0.0,0.164,0.147,流行
Arizona Zervas,7,rap,70.143,99,2018.0,0.725,0.676,0.544,0.064,0.0,0.238,0.094,说唱
Jhay Cortez,7,latin,70.0,86,2019.0,0.768,0.696,0.532,0.166,0.0,0.151,0.105,拉丁
Rex Orange County,10,pop,69.9,81,2017.0,0.597,0.51,0.338,0.421,0.001,0.155,0.066,流行
Nickelback,5,rock,69.8,78,2005.0,0.507,0.835,0.469,0.001,0.078,0.224,0.039,摇滚
"Tyler, The Creator",11,r&b,69.545,84,2017.0,0.547,0.553,0.361,0.318,0.052,0.322,0.189,R&B
Robbie Williams,5,rock,69.4,73,1998.0,0.491,0.734,0.414,0.172,0.001,0.203,0.037,摇滚
Aventura,6,latin,69.167,74,2005.5,0.767,0.656,0.747,0.399,0.0,0.26,0.118,拉丁
Prince Royce,8,latin,68.75,75,2018.0,0.762,0.747,0.781,0.302,0.0,0.195,0.06,拉丁
Beyoncé,18,r&b,68.722,77,2012.5,0.576,0.59,0.475,0.203,0.012,0.23,0.181,R&B
C. Tangana,6,latin,68.667,79,2019.0,0.766,0.654,0.627,0.294,0.005,0.166,0.147,拉丁
NLE Choppa,14,rap,68.571,85,2019.0,0.764,0.686,0.625,0.176,0.0,0.303,0.353,说唱
