受访者编号,z_外向社交,z_尽责自律,z_情绪稳定,z_开放好奇,z_宜人友善,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
0,0.5443,0.1175,1.4361,0.5609,0.3283,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
1,-0.6367,0.9551,0.3097,0.2945,-1.5106,2.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0
2,1.4302,-0.4409,-1.0982,0.8272,0.6348,2.0,2.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0
3,-2.9989,1.2344,-1.943,1.3598,-0.8976,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0
4,-0.3415,-0.1617,1.1545,-0.5044,-0.2846,4.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0
5,-0.6367,0.1175,0.5913,-0.2381,0.6348,2.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0
6,0.8396,2.072,-0.8166,-0.2381,1.5543,5.0,3.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0
7,-0.6367,-1.2786,1.1545,-1.3034,-1.5106,3.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
8,-1.5225,0.9551,-0.535,-1.5697,-0.2846,3.0,1.0,1.0,2.0,4.0,3.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
9,1.1349,-0.4409,-0.2534,0.5609,0.6348,2.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0
10,-0.932,0.1175,0.3097,0.2945,0.3283,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0
11,-0.3415,-1.5578,-1.943,-0.2381,-1.2041,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0
12,-0.6367,0.3967,-2.7877,0.5609,0.6348,1.0,2.0,1.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0
13,0.2491,0.6759,0.3097,0.0282,0.3283,5.0,3.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0
14,-0.3415,1.2344,-1.6614,0.5609,1.5543,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0
15,-0.6367,0.9551,-1.3798,1.0935,0.3283,2.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0
16,0.2491,-0.1617,0.3097,-2.1024,-0.2846,3.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0
17,-0.932,-0.7202,-1.943,-0.7708,-0.2846,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0
18,-0.932,1.5136,1.1545,0.5609,-1.2041,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
19,-0.6367,-0.7202,1.1545,0.0282,-1.2041,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0
20,-0.3415,-0.1617,0.3097,0.2945,0.6348,3.0,2.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0
21,-0.0462,0.1175,0.3097,0.0282,-1.5106,1.0,1.0,3.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0
22,-0.0462,0.1175,0.3097,-0.7708,0.3283,3.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0
