Spotify流派,排名,歌手,歌曲数,平均流行度
电子舞曲,1,Lane 8,10,52.8
电子舞曲,2,Lucky Luke,11,51.4
电子舞曲,3,Timmy Trumpet,11,47.9
电子舞曲,4,Tujamo,19,46.8
电子舞曲,5,Lucas & Steve,10,45.7
电子舞曲,6,Don Diablo,13,43.7
电子舞曲,7,Tritonal,14,43.5
电子舞曲,8,Alan Walker,11,43.3
拉丁,1,Romeo Santos,11,67.5
拉丁,2,Maluma,12,66.5
拉丁,3,Shakira,14,64.9
拉丁,4,Luis Fonsi,18,61.8
拉丁,5,Ozuna,30,60.3
拉丁,6,Sebastian Yatra,11,59.1
拉丁,7,"Tito ""El Bambino""",11,56.3
拉丁,8,Rihanna,13,56.0
流行,1,5 Seconds of Summer,10,75.1
流行,2,Coldplay,13,74.9
流行,3,Ed Sheeran,17,73.6
流行,4,Camila Cabello,10,73.5
流行,5,Khalid,13,72.1
流行,6,Lauv,15,71.7
流行,7,Selena Gomez,18,71.3
流行,8,Ava Max,10,71.1
R&B,1,Billie Eilish,16,73.1
R&B,2,Daniel Caesar,18,65.3
R&B,3,SZA,10,64.9
R&B,4,Frank Ocean,22,63.0
R&B,5,H.E.R.,11,60.6
R&B,6,Mariah Carey,11,58.5
R&B,7,BROCKHAMPTON,11,56.9
R&B,8,KAYTRANADA,11,56.6
说唱,1,NLE Choppa,12,69.5
说唱,2,Trippie Redd,11,68.0
说唱,3,Young Thug,18,64.2
说唱,4,Bizarrap,10,60.9
说唱,5,Kendrick Lamar,12,60.0
说唱,6,$uicideBoy$,26,57.7
说唱,7,Paulo Londra,16,56.9
说唱,8,Wu-Tang Clan,18,54.7
摇滚,1,AC/DC,11,68.9
摇滚,2,Red Hot Chili Peppers,15,65.7
摇滚,3,Muse,24,64.1
摇滚,4,The Strokes,10,63.6
摇滚,5,Oasis,10,63.6
摇滚,6,Linkin Park,14,62.3
摇滚,7,The Beatles,15,61.5
摇滚,8,Radiohead,13,60.0
