,缺失数
Height,20
Weight,20
Passive sport,15
Chemistry,10
Geography,9
Latino,8
Documentary,8
Smoking,8
Theatre,8
Punk,8
Age,7
"Countryside, outdoors",7
Final judgement,7
Gardening,7
Alternative,7
Daily events,7
Criminal damage,7
Compassion to animals,7
"Reggae, Ska",7
Rock n roll,7
Classical music,7
"Techno, Trance",7
Science and technology,6
Giving,6
Number of siblings,6
Reading,6
Biology,6
PC,6
Writing,6
Gender,6
Responding to a serious letter,6
Art exhibitions,6
Movies,6
Friends versus money,6
"Swing, Jazz",6
Rock,6
Country,5
Folk,5
Economy Management,5
Energy levels,5
Self-criticism,5
Socializing,5
Getting up,5
Workaholism,5
Empathy,5
Foreign languages,5
Medicine,5
Alcohol,5
Psychology,5
Spiders,5
Prioritising workload,5
Dance,4
"Hiphop, Rap",4
Judgment calls,4
Hypochondria,4
Cars,4
Active sport,4
Mood swings,4
Funniness,4
Decision making,4
Cheating in school,4
Children,4
Loss of interest,4
Village - town,4
House - block of flats,4
Getting angry,4
Personality,4
Finding lost valuables,4
Small - big dogs,4
Happiness in life,4
Questionnaires or polls,4
Pets,4
Internet,4
Fun with friends,4
Reliability,4
Western,4
Music,3
Pop,3
Entertainment spending,3
Left - right handed,3
Finances,3
Spending on looks,3
Unpopularity,3
Metal or Hardrock,3
Thinking ahead,3
Adrenaline sports,3
Religion,3
Romantic,3
Animated,3
Comedy,3
Dancing,3
Life struggles,3
Waiting,3
Interests or hobbies,3
Healthy eating,3
Rats,3
Heights,3
Flying,3
Writing notes,3
Appearence and gestures,3
Elections,3
Charity,3
Physics,3
Fantasy/Fairy tales,3
Mathematics,3
Only child,2
Slow songs or fast songs,2
Parents' advice,2
Horror,2
Musical,2
God,2
Shopping,2
Action,2
Sci-fi,2
History,2
War,2
Celebrities,2
Darkness,2
Lying,2
Punctuality,2
Branded clothing,2
Shopping centres,2
Spending on healthy eating,2
Knowing the right people,2
Public speaking,2
Achievements,2
Assertiveness,2
Changing the past,2
New environment,2
Borrowed stuff,2
Thriller,1
Opera,1
Politics,1
Musical instruments,1
Fake,1
Keeping promises,1
Ageing,1
Fear of public speaking,1
Storm,1
Dangerous dogs,1
Law,1
Loneliness,1
Health,1
Education,1
