标签,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
外向爱社交,0.2663,0.0156,-0.0035,-0.1369,-0.007,0.0955,0.044,-0.0668,-0.0091,0.3674,0.2012,0.049,0.101,0.0235,0.1167,0.1832,-0.0295
安静内向,-0.2795,0.0623,0.0654,0.1645,-0.0285,-0.1346,-0.0456,0.0778,0.0448,-0.3571,-0.1261,-0.0436,-0.0734,-0.0071,-0.0344,-0.1538,0.1158
自律可靠,0.0059,0.0775,0.0457,0.1872,0.1327,0.0129,-0.0783,-0.0068,0.0089,-0.0407,-0.0033,0.037,-0.008,-0.0811,0.0791,0.0087,0.2112
随性散漫,-0.0351,-0.0969,-0.0795,-0.1293,-0.0967,-0.0381,0.0753,-0.0059,-0.0202,0.0372,0.0356,-0.0438,-0.0196,0.1127,-0.1,0.0034,-0.1944
情绪稳定,-0.0041,-0.006,0.0947,0.0409,-0.1523,-0.1046,0.0722,0.1568,0.0807,0.0838,0.0749,-0.0399,-0.008,0.0509,-0.138,0.0321,-0.0149
感性敏感,0.0381,0.0777,-0.0221,0.0939,0.0458,0.1808,0.0228,-0.0931,-0.0625,-0.153,-0.0983,0.0405,0.0261,-0.0121,0.0967,-0.063,-0.0012
好奇开放,-0.124,0.2296,0.1426,0.5436,0.4918,-0.0738,0.2562,0.1424,0.2012,-0.207,0.1282,0.571,0.4181,0.525,0.2682,-0.1802,0.514
务实传统,0.1061,-0.2969,-0.1489,-0.6623,-0.7003,0.0169,-0.283,-0.1316,-0.1845,0.1545,-0.2255,-0.5588,-0.3661,-0.5127,-0.4481,0.2058,-0.571
友善体贴,0.1624,0.2297,0.0638,0.172,0.2896,0.1353,0.1051,-0.0546,0.0062,0.0432,0.1461,0.1438,0.1377,0.0571,0.3124,-0.0247,0.1723
直率独立,-0.1752,-0.1656,-0.0947,-0.1153,-0.267,-0.1929,-0.0344,0.1412,0.0242,-0.0822,-0.0922,-0.1726,-0.0814,-0.0228,-0.2735,-0.0625,-0.1489
乐观开朗,0.0982,0.0684,0.0856,0.1436,-0.0318,0.0406,0.0866,0.1035,0.0753,0.1558,0.1954,0.1692,0.1094,0.0481,0.0287,0.055,0.0798
自我反省,-0.0379,0.1472,0.046,0.2123,0.0626,0.0267,0.0804,0.0084,0.0319,-0.139,0.0443,0.2011,0.1438,0.1453,0.1096,-0.0398,0.1104
